,Unnamed: 0,Date,State,City,Summary,Source File,code,Direction,Time,Authority Advised,Route,Location,Altitude,latitude,longitude
14447,14447,10/25/2021,SOUTH CAROLINA,GREER,"PRELIM INFO FROM FAA OPS: GREER, SC/UAS INCIDENT/1400E/GREENVILLE ATCT ADVISED , PIPER PA24, REPORTED A BLACK UAS FROM THE 8 O'CLOCK POSITION WHILE SE BOUND AT 6,000 FEET 12 NE GREER. NO EVASIVE ACTION TAKEN. GREENVILLE COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SE BOUND,1400E,GREENVILLE ATCT,,12 NE GREER,"AT 6,000 FEET",,
14464,14464,10/30/2021,FLORIDA,MELBOURNE,"PRELIM INFO FROM FAA OPS: MELBOURNE, FL/UAS INCIDENT/1802E/MELBOURNE ATCT ADVISED , PIPER P28A, REPORTED UAS AT THE 6 O'CLOCK POSITION WHILE W BOUND AT 1,000 FEET 1 E MELBOURNE. NO EVASIVE ACTION REPORTED. MELBOURNE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,W BOUND,1802E,MELBOURNE ATCT,,1 E MELBOURNE,"AT 1,000 FEET",,
14468,14468,10/31/2021,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/1355E/CENTRAL FLORIDA TRACON ADVISED , CESSNA C441, REPORTED UAS AT 12 O'CLOCK POSITION AT 2,600 FEET WHILE SSE BOUND 3 SSE ORLANDO SANFORD INTERNATIONAL AIRPORT. NO EVASIVE ACTION TAKEN. SEMINOLE COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SSE BOUND,1355E,CENTRAL FLORIDA TRACON,,3 SSE ORLANDO SANFORD INTERNATIONAL AIRPORT,"AT 2,600 FEET",,
14474,14474,11/1/2021,VIRGINIA,LYNCHBURG,"PRELIM INFO FROM FAA OPS: LYNCHBURG, VA/UAS INCIDENT/0745E/ROANOKE APCH ADVISED , CESSNA C172, REPORTED A BLACK UAS 300 FEET BELOW ACFT WHILE W BOUND AT 4,800 FEET 10 W LYNCHBURG. NO INJURIES REPORTED. VIRGINIA STATE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,W BOUND,0745E,ROANOKE APCH,,10 W LYNCHBURG,"AT 4,800 FEET",,
14495,14495,11/5/2021,KENTUCKY,LONDON,"PRELIM INFO FROM FAA OPS: LONDON, KY/UAS INCIDENT/1609E/INDIANAPOLIS ARTCC ADVISED , BEECH BE33, OBSERVED A QUAD-COPTER UAS WHILE SOUTHEAST BOUND AT 6,000 FEET, 3 N LONDON. NO EVASIVE ACTION REPORTED. LAUREN COUNTY SHERIFF NOTIFIED (NO PHONE PROVIDED).",FY2022_Q1_UAS_Sightings.xlsx,,SOUTHEAST BOUND,1609E,INDIANAPOLIS ARTCC,,3 N LONDON,,,
14504,14504,11/7/2021,MASSACHUSETTS,BOSTON,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/1053E/BOSTON ATCT ADVISED , HELO, REPORTED A UAS FROM THE 6 O'CLOCK POSITION WHILE SSE BOUND AT 800 FEET 3.5 WNW BOSTON. NO EVASIVE ACTION TAKEN. MASSACHUSETTS STATE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SSE BOUND,1053E,BOSTON ATCT,,,AT 800 FEET,,
14507,14507,11/7/2021,TENNESSEE,MEMPHIS,"PRELIM INFO FROM FAA OPS: MEMPHIS, TN/UAS INCIDENT/1245C/MEMPHIS TRACON ADVISED , CIRRUS SR22, OBSERVED A UAS AT THE 10 O'CLOCK POSITION WHILE WESTBOUND AT 8,000 FEET 5 NW MEMPHIS. NO EVASIVE ACTION TAKEN. LEO NOTIFICATION NOT REPORTED.",FY2022_Q1_UAS_Sightings.xlsx,,,1245C,MEMPHIS TRACON,,5 NW MEMPHIS,"AT 8,000 FEET",,
14527,14527,11/10/2021,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS INCIDENT/1623M/LUKE AFB ADVISED , 2/F35, REPORTED A QUADCOPTER UAS WHILE NE BOUND AT 8,500 FEET 35 SSW GLENDALE. NO EVASIVE ACTION TAKEN. MARICOPA COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,NE BOUND,1623M,LUKE AFB,,35 SSW GLENDALE,"AT 8,500 FEET",,
14528,14528,11/10/2021,CALIFORNIA,LOS ALAMITOS,"PRELIM INFO FROM FAA OPS: LOS ALAMITOS, CA/UAS INCIDENT/2006P/SOCAL TRACON ADVISED , PILATUS PC12, REPORTED UAS AT 12,500 FEET WHILE W BOUND 15 S LOS ALAMITOS. NO EVASIVE ACTION TAKEN. HUNNIGTON BEACH AIR SUPPORT NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,W BOUND,2006P,SOCAL TRACON,,15 S LOS ALAMITOS,"AT 12,500 FEET",,
14535,14535,11/12/2021,GEORGIA,CAIRO,"PRELIM INFO FROM FAA OPS: CAIRO, GA/UAS INCIDENT/1652E/JACKSONVILLE ARTCC ADVISED , BOMBARDIER CL60, REPORTED A GRAY BLACK UAS FROM THE 1 O'CLOCK POSITION WHILE W BOUND AT 14,000 FEET OVER CAIRO-GRADY COUNTY ARPT. NO EVASIVE ACTION TAKEN. GRADY COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,W BOUND,1652E,JACKSONVILLE ARTCC,,,"AT 14,000 FEET",,
14545,14545,11/13/2021,NEW YORK,NORTHAMPTON,"NORTHAMPTON, NY$ USCG REPORTS GRAY QUAD-COPTOR UAS HOVERING OVER USGC PROPERTY @ BOATS. 11/13/2021 2300Z",FY2022_Q1_UAS_Sightings.xlsx,,,,,,,,,
14555,14555,11/14/2021,CALIFORNIA,BURBANK,"PRELIM INFO FROM FAA OPS: BURBANK, CA/UAS INCIDENT/1735P/BURBANK ATCT ADVISED , ROBINSON R44, UNKN - UNKN, REPORTED A UAS OPERATING OVER THE HOLLYWOOD SIGN 300 FEET ABOVE ACFT WHILE SSE BOUND AT 1,700 FEET 5 SE BURBANK. NO EVASIVE ACTION TAKEN. LAPD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SSE BOUND,1735P,BURBANK ATCT,UNKN - UNKN,5 SE BURBANK,"AT 1,700 FEET",,
14560,14560,11/15/2021,FLORIDA,WEST PALM BEACH,"PRELIM INFO FROM FAA OPS: WEST PALM BEACH, FL/UAS INCIDENT/LATE REPORT 15/2122E/PALM BEACH ATCT ADVISED , HELO, REPORTED A UAS 1,500 FEET ABOVE ACFT WHILE N BOUND AT 2,000 FEET 7 W PALM BEACH. NO EVASIVE ACTION TAKEN. POLICE HELO NOTIFIED ON FREQUENCY.",FY2022_Q1_UAS_Sightings.xlsx,,N BOUND,2122E,PALM BEACH ATCT,,7 W PALM BEACH,"AT 2,000 FEET",,
14561,14561,11/16/2021,FLORIDA,GAINESVILLE,"PRELIM INFO FROM FAA OPS: GAINESVILLE, FL/UAS INCIDENT/0900E/JACKSONVILLE ARTCC ADVISED , PIPER PA32, REPORTED A UAS FROM THE 6 O'CLOCK POSITION WHILE W BOUND AT 6,000 FEET 17 WNW GAINESVILLE. NO EVASIVE ACTION TAKEN. ALACHUA COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,W BOUND,0900E,JACKSONVILLE ARTCC,,17 WNW GAINESVILLE,"AT 6,000 FEET",,
14563,14563,11/16/2021,OREGON,NORTH BEND,"PRELIM INFO FROM FAA OPS: NORTH BEND, OR/UAS INCIDENT/1820P/NORTH BEND ATCT ADVISED , MH65, REPORTED UAS AT 500 FEET WHILE S BOUND 3 SSW NORTH BEND. EVASIVE ACTION NOT REPORTED. LEO NOTIFIED (NUMBER NOT REPORTED).",FY2022_Q1_UAS_Sightings.xlsx,,S BOUND,1820P,NORTH BEND ATCT,,3 SSW NORTH BEND,AT 500 FEET,,
14570,14570,11/19/2021,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/LATE REPORT 11-19 0915E/ORLANDO ATCT ADVISED ARPT OPS REPORTED UAS OPERATING 300 FEET ABOVE RUNWAY 17L/35R BLAST PAD. RUNWAY WAS CLOSED AT TIME OF SIGHTING. PRIOR TO REOPENING, ARPT OPS DISCOVERED THE UAS ON THE BLAST PAD. SERIAL NUMBER PROVIDED TO LEOS. ORLANDO PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,,ORLANDO ATCT,,,,,
14572,14572,11/19/2021,ALABAMA,DAUPHIN ISLAND,"PRELIM INFO FROM FAA OPS: DAUPHIN ISLAND, AL/UAS INCIDENT/1235C/MOBILE TRACON ADVISED , TEX2, REPORTED UAS WHILE E BOUND AT 7,000 FEET 5 N DAUPHIN ISLAND. NO EVASIVE ACTION TAKEN. NO LEOS NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,E BOUND,1235C,MOBILE TRACON,,5 N DAUPHIN ISLAND,"AT 7,000 FEET",,
14586,14586,11/21/2021,MASSACHUSETTS,LAWRENCE,"PRELIM INFO FROM FAA OPS: LAWRENCE, MA/UAS INCIDENT/1335E/LAWRENCE ATCT ADVISED, BEECH BE36, REPORTED UAS 100 FEET BELOW ACFT WHILE NE BOUND AT 1,500 1 SW LAWRENCE. NO EVASIVE ACTION REPORTED. MA STATE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,NE BOUND,1335E,LAWRENCE ATCT,,1 SW LAWRENCE,,,
14592,14592,11/22/2021,CALIFORNIA,EDWARDS,"PRELIM INFO FROM FAA OPS: EDWARDS, CA/UAS INCIDENT/1111P/JOSHUA CONTROL FACILITY ADVISED , F16, REPORTED A UAS WHILE SW BOUND AT 10,000 FEET VCNTY EDWARDS AFB. NO EVASIVE ACTIONS TAKEN. NO LEO NOTIFICATION REPORTED.",FY2022_Q1_UAS_Sightings.xlsx,,SW BOUND,1111P,JOSHUA CONTROL FACILITY,,,"AT 10,000 FEET",,
14596,14596,11/22/2021,DELAWARE,DOVER,"PRELIM INFO FROM FAA OPS: DOVER, DE/UAS INCIDENT/1638E/DOVER APCH ADVISED , CESSNA COL4, UNKN - UNKN, REPORTED ORANGE UAS FROM THE RIGHT SIDE WHILE SW BOUND AT 4,000 FEET 7 NE DOVER. NO EVASIVE ACTION TAKEN. DOVER PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SW BOUND,1638E,DOVER APCH,UNKN - UNKN,7 NE DOVER,"AT 4,000 FEET",,
14603,14603,11/23/2021,VIRGINIA,CHARLOTTESVILLE,"PRELIM INFO FROM FAA OPS: CHARLOTTESVILLE, VA/UAS INCIDENT/2055E/POTOMAC TRACON ADVISED , EC135, REPORTED MAKING A HARD RIGHT TURN TO AVOID A UAS AT THE 12 O'CLOCK POSITION WHILE NE BOUND AT 1,200 FEET 1 S UNIVERSITY OF VIRGINIA HELIPORT (8VA5). ALBERMARLE PD WAS NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,NE BOUND,2055E,POTOMAC TRACON,,,"AT 1,200 FEET",,
14604,14604,11/24/2021,ARIZONA,GLENDALE,"PRELIM INFO FROM FAA OPS: GLENDALE, AZ/UAS INCIDENT/0939M/ALBUQUERQUE ARTCC ADVISED , F16, OBSERVED A UAS WHILE WESTBOUND AT 11,000 FEET, 39 WNW LUKE AFB. NO INJURIES REPORTED. MARICOPA COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,0939M,ALBUQUERQUE ARTCC,,39 WNW LUKE AFB,,,
14610,14610,11/25/2021,MARYLAND,CAMP SPRINGS,"PRELIM INFO FROM FAA OPS: CAMP SPRINGS, MD/UAS INCIDENT/1400E/ANDREWS ATCT ADVISED A UAS WAS OBSERVED 1-2 NW AT APPROX 50 FT ELEVATION. NO FURTHER INFORMATION PROVIDED.",FY2022_Q1_UAS_Sightings.xlsx,,,1400E,ANDREWS ATCT,,,,,
14618,14618,11/28/2021,MARYLAND,CAMP SPRINGS,"PRELIM INFO FROM FAA OPS: CAMP SPRINGS, MD/UAS INCIDENT/1722E/ANDREWS AFB ATCT ADVISED BASE OPS REPORTED SYSTEM DETECTED UAS OPERATING BELOW 250 FEET APPROX 1 NW ANDREWS AFB. UAS NOT VISUALLY VERIFIED. PRINCE GEORGE'S COUNTY PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,1722E,ANDREWS AFB ATCT,,1 NW ANDREWS AFB,,,
14625,14625,11/29/2021,CALIFORNIA,TORRANCE,"PRELIM INFO FROM FAA OPS: TORRANCE, CA/UAS INCIDENT/1350P/TORRANCE ATCT ADVISED , AIRPLANE FACTORY SLG2, REPORTED A UAS FROM THE RIGHT SIDE WHILE N BOUND AT 400 FEET 1 NW TORRANCE. NO EVASIVE ACTION TAKEN. TORRANCE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,N BOUND,1350P,TORRANCE ATCT,,1 NW TORRANCE,AT 400 FEET,,
14633,14633,12/1/2021,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FORT LAUDERDALE, FL/UAS INCIDENT/1600E/FORT LAUDERDALE ATCT REPORTED A UAS OPERATING AT THE BASE OF THE CONTROL TOWER. NO IMPACT TO AIR TRAFFIC. NO AIRCRAFT INVOLVED. BROWARD SHERIFF NOTIFIED. PHONE NUMBER NOT PROVIDED.",FY2022_Q1_UAS_Sightings.xlsx,,,1600E,,,,,,
14648,14648,12/4/2021,OHIO,NORTH PERRY,"PRELIM INFO FROM FAA OPS: NORTH PERRY, OH/UAS INCIDENT/2143E/CLEVELAND ARTCC ADVISED NORTH PERRY NUCLEAR POWER PLANT REPORTED 2 UAS E BOUND OVER PROTECTED AREAS OF PLANT. NO IMPACTS TO NAS REPORTED. LAKE COUNTY PD NOTIFIED FBI OF INCIDENT.",FY2022_Q1_UAS_Sightings.xlsx,,,2143E,CLEVELAND ARTCC,,,,,
14661,14661,12/7/2021,TEXAS,FORT WORTH,"PRELIM INFO FROM FAA OPS: FORT WORTH, TX/UAS INCIDENT/1715C/FT WORTH ALLIANCE ATCT ADVISED AN INDIVIDUAL OBSERVED A BLACK QUADCOPTER UAS NEAR RUNWAY 16L FORT WORTH ALLIANCE ARPT. NO ACFT REPORTED OBSERVING THE UAS. NO EVASIVE ACTION TAKEN. NORTHLAKE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,1715C,FT WORTH ALLIANCE ATCT,,,,,
14662,14662,12/8/2021,FLORIDA,ORLANDO,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/LATE REPORT 0922E/ORLANDO ATCT ADVISED AIRPORT OPS PERSONNEL OBSERVED A WHITE QUAD COPTER UAS AT 100 FEET .5 S OF RUNWAY 35R. NO AIRCRAFT INVOLVED. NO IMPACT TO ATC OPERATIONS. ORANGE COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,,ORLANDO ATCT,,,AT 100 FEET,,
14684,14684,12/12/2021,FLORIDA,VERO BEACH,"PRELIM INFO FROM FAA OPS: VERO BEACH, FL/UAS INCIDENT/1145E/MIAMI ARTCC ADVISED , PIPER PA32, REPORTED A GREY QUADCOPTER UAS WHILE SE BOUND AT 7,500 FEET 11 N TREASURE VORTAC. NO EVASIVE ACTION TAKEN. VERO BEACH PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SE BOUND,1145E,MIAMI ARTCC,,11 N TREASURE VORTAC,"AT 7,500 FEET",,
14694,14694,12/13/2021,CONNECTICUT,BRIDGEPORT,"PRELIM INFO FROM FAA OPS: BRIDGEPORT, CT/UAS INCIDENT/1606E/NEW YORK TRACON ADVISED , PIPER PA32, OBSERVED A WHITE UAS WHILE NORTHBOUND AT 5,000 FEET 10 N BRIDGEPORT. NO EVASIVE ACTION TAKEN. CONNECTICUT STATE PD NOTIFIED",FY2022_Q1_UAS_Sightings.xlsx,,,1606E,NEW YORK TRACON,,10 N BRIDGEPORT,"AT 5,000 FEET",,
14697,14697,12/13/2021,MINNESOTA,DULUTH,"PRELIM INFO FROM FAA OPS: DULUTH, MN/UAS INCIDENT/1758C/DULUTH ATCT ADVISED , CIRRUS SR22, OBSERVED A UAS IMMEDIATELY AFTER DEPARTURE WHILE WESTBOUND BETWEEN 500-700 FEET. NO EVASIVE ACTION REPORTED. ST LOUIS COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,1758C,DULUTH ATCT,,,,,
14702,14702,12/17/2021,TEXAS,HOUSTON,"PRELIM INFO FROM FAA OPS: HOUSTON, TX/UAS INCIDENT/1200C/CONROE ATCT ADVISED , EXPERIMENTAL, REPORTED UAS 100 FEET ABOVE ACFT WHILE S BOUND AT 4,000 FEET 1 N HOUSTON. NO EVASIVE ACTION REPORTED. CONROE PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,S BOUND,1200C,CONROE ATCT,,1 N HOUSTON,"AT 4,000 FEET",,
14705,14705,12/17/2021,CALIFORNIA,CHICO,"PRELIM INFO FROM FAA OPS: CHICO, CA/UAS INCIDENT/LATE REPORT 1216P/CHICO ATCT ADVISED , BEECH BE36, REPORTED A QUADCOPTER UAS AFTER DEPARTURE AT 1,000 FEET 5 SW CHICO. NO EVASIVE ACTION REPORTED. CHICO PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,,,CHICO ATCT,,5 SW CHICO,"AT 1,000 FEET",,
14710,14710,12/18/2021,CALIFORNIA,FILLMORE,"PRELIM INFO FROM FAA OPS: FILLMORE, CA/UAS INCIDENT/1035P/SOCAL TRACON ADVISED , CESSNA C172, REPORTED A UAS WHILE E BOUND AT 900 FEET 1 N FILLMORE. NO EVASIVE ACTION REPORTED. VENTURA COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,E BOUND,1035P,SOCAL TRACON,,1 N FILLMORE,AT 900 FEET,,
14721,14721,12/21/2021,MASSACHUSETTS,SPRINGFIELD,"PRELIM INFO FROM FAA OPS: WESTFIELD/SPRINGFIELD, MA/UAS INCIDENT/1039E/BARNES ATCT OBSERVED UAS OPERATING 1 NNW OF AIRPORT. NO AIRCRAFT REPORTED EVASIVE ACTION. BARNES ATCT CHANGED OPERATIONS TO A LEFT DOWNWIND TO RWY20 TO AVOID THE UAS. NO LEO NOTIFICATION INFORMATION PROVIDED.",FY2022_Q1_UAS_Sightings.xlsx,,,1039E,,,1 NNW OF AIRPORT,,,
14722,14722,12/21/2021,DISTRICT OF COLUMBIA,WASHINGTON,"CLOSE-OUT INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1105E/NCRCC REPORTED THAT MWAA PD DID NOT ARREST OPERATOR AS THEY WERE UNABLE TO DETERMINE IF UAS OPERATION WAS ILLEGAL.",FY2022_Q1_UAS_Sightings.xlsx,,,1105E,,,,,,
14725,14725,12/21/2021,TEXAS,LAREDO,"CLOSE-OUT INFO FROM FAA OPS: LAREDO, TX/UAS INCIDENT/1420C/LAREDO ATCT ADVISED AFTER LANDING ATCT PERSONNEL QUESTIONED PILOT OF WHO STATED THAT THEY DID NOT TAKE EVASIVE ACTION TO AVOID COLLISION.",FY2022_Q1_UAS_Sightings.xlsx,,,1420C,LAREDO ATCT,,,,,
14727,14727,12/21/2021,OHIO,CLEVELAND,"PRELIM INFO FROM FAA OPS: CLEVELAND, OH/UAS INCIDENT/1611E/CLEVELAND ATCT ADVISED , BOMBARDIER CL35, REPORTED A WHITE UAS AT 200 FEET WHILE WSW BOUND 2 N CLEVELAND. NO EVASIVE ACTION TAKEN. LEO NOT NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,WSW BOUND,1611E,CLEVELAND ATCT,,2 N CLEVELAND,AT 200 FEET,,
14731,14731,12/22/2021,FLORIDA,PENSACOLA,"PRELIM INFO FROM FAA OPS: PENSACOLA, FL/UAS INCIDENT/1639C/PENSACOLA ATCT ADVISED , CESSNA C172, REPORTED WHITE UAS BELOW ACFT AT THE 9 O'CLOCK POSITION WHILE N BOUND AT 800 FEET 2 N PENSACOLA. NO EVASIVE ACTION REPORTED. UAS APPEARED TO BE OPERATING OVER SACRED HEART HOSPITAL. PENSACOLA PD NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,N BOUND,1639C,PENSACOLA ATCT,,2 N PENSACOLA,AT 800 FEET,,
14736,14736,12/24/2021,FLORIDA,PENSACOLA,"PRELIM INFO FROM FAA OPS: PENSACOLA, FL/UAS INCIDENT/1556C/PENSACOLA TRACON ADVISED , PIPER P28A, REPORTED UAS AT SAME ALTITUDE WHILE S BOUND AT 1,500 FEET 5 N PENSACOLA. NO EVASIVE ACTION REPORTED. ESCAMBIA COUNTY SHERIFF NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,S BOUND,1556C,PENSACOLA TRACON,,5 N PENSACOLA,"AT 1,500 FEET",,
14742,14742,12/26/2021,ILLINOIS,WHEELING,"PRELIM INFO FROM FAA OPS: CHICAGO/PROSPECT HEIGHTS/WHEELING, IL/UAS INCIDENT/1424C/CHICAGO EXECUTIVE ATCT ADVISED , LEARJET LJ60, OBSERVED A UAS BENEATH THE AIRCRAFT WHILE SE BOUND AT 1,700 FEET 8 NE CHICAGO EXECUTIVE AIRPORT. NO EVASIVE ACTION TAKEN. FBI NOTIFIED.",FY2022_Q1_UAS_Sightings.xlsx,,SE BOUND,1424C,CHICAGO EXECUTIVE ATCT,,8 NE CHICAGO EXECUTIVE AIRPORT,"AT 1,700 FEET",,
14758,14758,2017-10-01 00:00:00,ILLINOIS,CHICAGO,"PRELIM INFO FROM FAA OPS: CHICAGO O'HARE ARPT, IL/UAS INCIDENT/1753C/CHICAGO TRACON ADVISED E75L OBSERVED A UAS FROM THE 9 O'CLOCK POSITION WHILE HEADING SOUTHBOUND AT 4,000 FEET VCNTY O'HARE ARPT. NO EVASIVE ACTION TAKEN. FBI NOTIFIED._x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,1753C,CHICAGO TRACON,,,"AT 4,000 FEET",,
14766,14766,2017-10-01 00:00:00,ARIZONA,PHOENIX,"PRELIM INFO FROM FAA OPS: PHOENIX, AZ/UAS INCIDENT/1108M/PHOENIX TRACON ADVISED PIPER PA32 OBSERVED A UAS WHILE E BOUND AT 2,500 FEET 6 E PHOENIX. NO EVASIVE ACTION TAKEN. UNKN IF LEO NOTIFIED. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,E BOUND,1108M,PHOENIX TRACON,,6 E PHOENIX,"AT 2,500 FEET",,
14791,14791,2017-10-07 00:00:00,PENNSYLVANIA,MODENA,"PRELIM INFO FROM FAA OPS: MODENA, PA/UAS INCIDENT/1535E/ZNY ARTCC ADVISED E135 OBSERVED A UAS WHILE WESTBOUND AT 10,000 FEET, 10 SSW MODENA. NO EVASIVE ACTION TAKEN. PENNSYLVANIA STATE PD NOTIFIED._x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,1535E,ZNY ARTCC,,10 SSW MODENA,,,
14797,14797,2017-10-08 00:00:00,CALIFORNIA,LONG BEACH,"PRELIM INFO FROM FAA OPS: LONG BEACH, CA/UAS INCIDENT/1626P/ROBINSON R22 REPORTED A BRIGHT YELLOW REMOTE CONTROLLED AIRPLANE OVER THE SHORELINE AT 100-200 FEET 2.5 S LONG BEACH. NO EVASIVE ACTION REPORTED. LEO NOTIFICATION UNKN. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,1626P,,,,,,
14805,14805,2017-10-11 00:00:00,FLORIDA,FORT LAUDERDALE,"PRELIM INFO FROM FAA OPS: FT LAUDERDALE, FL/UAS INCIDENT/0933E/FT LAUDERDALE EXECUTIVE ATCT ADVISED TB20 REPORTED A WHITE UAS APPROX 1 TO 2 FEET IN DIAMETER AT 1,300 FEET ON 3 MILE FINAL RUNWAY 9. NO EVASIVE ACTION REPORTED. UNKN IF LEO WAS NOTIFIED. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,0933E,FT LAUDERDALE EXECUTIVE ATCT,,,"AT 1,300 FEET",,
14863,14863,2017-10-19 00:00:00,VIRGINIA,VIRGINIA BEACH,"PRELIM INFO FROM FAA OPS: VIRGINIA BEACH, VA/UAS INCIDENT/0750E/NAS OCEANA APPROACH ADVISED MAINTENANCE PERSONNEL AT HANGAR 500 REPORTED A QUADCOPTER UAS SW BOUND. NO ACFT INVOLVED. OCEANA NAS SECURITY NOTIFIED. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,0750E,NAS OCEANA APPROACH,,,,,
14864,14864,2017-10-19 00:00:00,VIRGINIA,VIRGINIA BEACH,"PRELIM INFO FROM FAA OPS: VIRGINIA BEACH, VA/UAS INCIDENT/0840E/NAS OCEANA APPROACH ADVISED NAS OCEANA SECURITY REPORTED A WHITE QUADCOPTER UAS SW BOUND VCNTY HAZARDOUS CARGO LOADING AREA. NO ACFT INVOLVED. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,0840E,NAS OCEANA APPROACH,,,,,
14867,14867,2017-10-20 00:00:00,TEXAS,DALLAS-FORT WORTH,"PRELIM INFO FROM FAA OPS: DALLAS-FORT WORTH, TX/UAS INCIDENT/1734C/DFW ATCT ADVISED A321 OBSERVED A WHITE UAS 500 FEET BELOW WHILE S BOUND AT 2,700 FEET 8 MILE FINAL RUNWAY 17C DALLAS FORT WORTH. NO EVASIVE ACTION TAKEN. LEO NOT NOTIFIED. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,S BOUND,1734C,DFW ATCT,,,"AT 2,700 FEET",,
14911,14911,2017-10-26 00:00:00,VIRGINIA,LYNCHBURG,"PRELIM INFO FROM FAA OPS: LYNCHBURG, VA/UAS INCIDENT/1104E/  BEECHCRAFT BE58, REPORTED A WHITE UAS AT 6,900 FEET VCNTY OF THE LYNCHBURG VOR. NO EVASIVE ACTION REPORTED. _x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,1104E,,,,"AT 6,900 FEET",,
14940,14940,2017-11-03 00:00:00,VIRGINIA,VIRGINIA BEACH,"PRELIM INFO FROM FAA OPS: VIRGINIA BEACH, VA/UAS INCIDENT/1101E/OCEANA NAS ATCT ADVISED F18 REPORTED A 2 FEET BY 2 FEET WIDE QUADCOPTER UAS WHILE HEADING EASTBOUND AT 1,500 FEET VCNTY VIRGINIA BEACH. NO EVASIVE ACTION TAKEN. VIRGINIA BEACH PD NOTIFIED._x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,,1101E,OCEANA NAS ATCT,,,"AT 1,500 FEET",,
14948,14948,2017-11-06 00:00:00,CALIFORNIA,ONTARIO,"PRELIM INFO FROM FAA OPS: ONTARIO, CA/UAS INCIDENT/1609P/ONTARIO ATCT ADVISED B737 WHILE ON FINAL AT 3,000 FEET OBSERVED A UAS OVER-FLY FROM RIGHT TO LEFT AT UNKN VERTICAL SEPN WHILE WSW BOUND 6 EAST ONTARIO. NO EVASIVE ACTION TAKEN. ONTARIO ARPT PD NOTIFIED._x000D_
_x000D_
",FY2018_Q1_UAS_Sightings.xlsx,,WSW BOUND,1609P,ONTARIO ATCT,,,"AT 3,000 FEET",,
